col1,all tags
"Hey, how's it going?",User
I told you it was going to rain.,User
Have a great day!,User
How can I help you today?,User
I would recommend going for a run.,User
Thanks for the advice.,User
My favorite book is The Hobbit.,User
"I cannot drive, but I like to bike.",User
You sure look nice today!\n,"Synthetic, ULM 24B"
A cat's paw is shaped like a heart.,"Synthetic, ULM 24B"
"Hey, what's up today?","Synthetic, ULM 24B"
I would recommend eating some fruits today.,"Synthetic, ULM 24B"
I would also like a salad.,"Synthetic, ULM 24B"
"Your welcome, have a great day!","Synthetic, ULM 24B"
"I love to cook, but I don't always have time.","Synthetic, ULM 24B"
Do you want to go to dinner together?,"Synthetic, ULM 24B"
"I am not married, but I do have a girlfriend.","Synthetic, ULM 24B"
I don't have a favorite movie.,"Synthetic, ULM 24B"
I will be here until 11:00.,"Synthetic, ULM 24B"
I'm looking for a place to eat.,"Synthetic, ULM 24B"
What you said made sense.,"Synthetic, ULM 24B"
"I am a bot, not human.","Synthetic, ULM 24B"
I'm an outgoing person who enjoys hiking.,"Synthetic, ULM 24B"
I'm not allowed to bike in the street.,"Synthetic, ULM 24B"
How about we get some ice cream?,"Synthetic, ULM 24B"
I would like some pizza.,"Synthetic, ULM 24B"
I didn't pass the exam.,"Synthetic, ULM 24B"
Why are you wearing all black?,"Synthetic, ULM 24B"
What do you know about the weather?,"Synthetic, ULM 24B"
I prefer to eat a salad.,"Synthetic, ULM 24B"
Do you like anime?,"Synthetic, ULM 24B"
I have two cats and one dog.,"Synthetic, ULM 24B"
I'm sorry to hear that.,"Synthetic, ULM 24B"
Is this your dog?,"Synthetic, ULM 24B"
Did you see that movie yesterday?,"Synthetic, ULM 24B"
I am going to the beach today.,"Synthetic, ULM 24B"
Sure.,"Synthetic, ULM 24B"
We love to play basketball.,"Synthetic, ULM 24B"
"Yes, that sounds good.","Synthetic, ULM 24B"
You look great!,"Synthetic, ULM 24B"
My favorite movie is The Hangover.,"Synthetic, ULM 24B"
You have my number.,"Synthetic, ULM 24B"
That's a great question!,"Synthetic, ULM 24B"
"I love you, and I miss you too.","Synthetic, ULM 24B"
"Oh yeah, me too.","Synthetic, ULM 24B"
Have a nice day!,"Synthetic, ULM 24B"
I forgot to add the salt.,"Synthetic, ULM 24B"
Are you doing well?,"Synthetic, ULM 24B"
I'm having a pretty good day so far.,"Synthetic, ULM 24B"
I like skiing.,"Synthetic, ULM 24B"
Have a good semester.,"Synthetic, ULM 24B"
It is going to be a beautiful day.,"Synthetic, ULM 24B"
It looks like it might rain today.,"Synthetic, ULM 24B"
Here you go.,"Synthetic, ULM 24B"
I can do that if you'd like.,"Synthetic, ULM 24B"
What is your favorite movie genre?,"Synthetic, ULM 24B"
What time will you be home today?,"Synthetic, ULM 24B"
I know that you are right.,"Synthetic, ULM 24B"
My favorite movie is Harry Potter.,"Synthetic, ULM 24B"
The Hobbit? What a great movie!,"Synthetic, ULM 24B"
I am a huge fan of this author.,"Synthetic, ULM 24B"
I am sorry for what I said.,"Synthetic, ULM 24B"
Do you like to travel?,"Synthetic, ULM 24B"
What happened to your shoes?,"Synthetic, ULM 24B"
Is my hair really this greasy?,"Synthetic, ULM 24B"
What do you think about the new movie?,"Synthetic, ULM 24B"
I don't feel like doing anything.,"Synthetic, ULM 24B"
I have a lot of work to do.,"Synthetic, ULM 24B"
Did you know that the sun is about 1.5 million kilometers from the earth?,"Synthetic, ULM 24B"
Let's meet at the park tomorrow at 1 pm.,"Synthetic, ULM 24B"
I would recommend going for a walk.,"Synthetic, ULM 24B"
I need to buy a new car.,"Synthetic, ULM 24B"
It is not going to rain.,"Synthetic, ULM 24B"
I'm going to take a nap.,"Synthetic, ULM 24B"
I heard the latest Game of Thrones episode was crazy.,"Synthetic, ULM 24B"
I'm trying to stay positive.,"Synthetic, ULM 24B"
I really want to watch that movie.,"Synthetic, ULM 24B"
How about you?,"Synthetic, ULM 24B"
What's the weather going to be like tomorrow?,"Synthetic, ULM 24B"
Is English OK?,"Synthetic, ULM 24B"
I love to take pictures of nature.,"Synthetic, ULM 24B"
Did you have a nice weekend?,"Synthetic, ULM 24B"
Why would I talk if I'm not allowed to?,"Synthetic, ULM 24B"
"That means your cat is going to die, so sorry.","Synthetic, ULM 24B"
I love to read science fiction.,"Synthetic, ULM 24B"
Hello! Is this your first time here?,"Synthetic, ULM 24B"
"Sorry, I have plans.","Synthetic, ULM 24B"
I would recommend using a bike.,"Synthetic, ULM 24B"
Do you remember my cat? It was pretty cute.,"Synthetic, ULM 24B"
The Hobbit is pretty good.,"Synthetic, ULM 24B"
"Sorry, I am not that fast.","Synthetic, ULM 24B"
You are absolutely right!,"Synthetic, ULM 24B"
Can I pay for it with a credit card?,"Synthetic, ULM 24B"
How was work?,"Synthetic, ULM 24B"
I can see your house from here.,"Synthetic, ULM 24B"
"Don't feel bad, I'm really tired, too.","Synthetic, ULM 24B"
Do you like sports?,"Synthetic, ULM 24B"
Do want to eat at the dining hall?,"Synthetic, ULM 24B"
Good morning to you too.,"Synthetic, ULM 24B"
I don't know that you should do that.,"Synthetic, ULM 24B"
It is raining again!,"Synthetic, ULM 24B"
Do you want to go skiing with me?,"Synthetic, ULM 24B"
"So, how's your day going?","Synthetic, ULM 24B"
I like to take walks.,"Synthetic, ULM 24B"
"Yes, it is!","Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
How are you today?,"Synthetic, ULM 24B"
Are you kidding me?,"Synthetic, ULM 24B"
My favorite animal is a cat.,"Synthetic, ULM 24B"
Did I hear someone say something funny?,"Synthetic, ULM 24B"
It's nice outside.,"Synthetic, ULM 24B"
You should have brought an umbrella.,"Synthetic, ULM 24B"
Would you like to learn more about books?,"Synthetic, ULM 24B"
I'll check you when you get back.,"Synthetic, ULM 24B"
I got a new car yesterday.,"Synthetic, ULM 24B"
I am allergic to nuts.,"Synthetic, ULM 24B"
It wasn't me!,"Synthetic, ULM 24B"
My favorite class is astronomy.,"Synthetic, ULM 24B"
Did you know that giraffes cannot jump?,"Synthetic, ULM 24B"
I feel like a million bucks today!,"Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
Do you like to play Pokemon Go?,"Synthetic, ULM 24B"
I like chocolate chip cookies.,"Synthetic, ULM 24B"
I don't know.,"Synthetic, ULM 24B"
"Yes, I have all my homework done.","Synthetic, ULM 24B"
I would like some help finding a new car.,"Synthetic, ULM 24B"
I'll be right with you.,"Synthetic, ULM 24B"
"Hey, let's get some coffee.","Synthetic, ULM 24B"
Please try saying that again.,"Synthetic, ULM 24B"
Can you tell me more about the product?,"Synthetic, ULM 24B"
I work at TechCrunch in Mountain View.,"Synthetic, ULM 24B"
Did you notice the traffic?,"Synthetic, ULM 24B"
"No, but I would like a cup of coffee.","Synthetic, ULM 24B"
You seem upset.,"Synthetic, ULM 24B"
What are you looking for?,"Synthetic, ULM 24B"
My favorite author is J.R.R. Tolkien.,"Synthetic, ULM 24B"
The weather sucks right now.,"Synthetic, ULM 24B"
What does your cat's name mean?,"Synthetic, ULM 24B"
Can you tell me the time?,"Synthetic, ULM 24B"
"I have a cold, but it's mild.","Synthetic, ULM 24B"
You forgot to tell me your favorite color was blue.,"Synthetic, ULM 24B"
Wow that is crazy.,"Synthetic, ULM 24B"
How about we go for a walk then?,"Synthetic, ULM 24B"
I am from California.,"Synthetic, ULM 24B"
It is going to be windy today.,"Synthetic, ULM 24B"
Are you talking about me?,"Synthetic, ULM 24B"
"I am sorry, we do not have those.","Synthetic, ULM 24B"
I would like to go to Disney one day.,"Synthetic, ULM 24B"
I like to read.,"Synthetic, ULM 24B"
What if I asked you to buy me lunch?,"Synthetic, ULM 24B"
I hope you have a nice day.,"Synthetic, ULM 24B"
I am so sorry to hear that.,"Synthetic, ULM 24B"
I don't know if that is a good idea.,"Synthetic, ULM 24B"
"Good night, see you later.","Synthetic, ULM 24B"
I know all about football.,"Synthetic, ULM 24B"
The dog is barking.,"Synthetic, ULM 24B"
I am trying to find the best price.,"Synthetic, ULM 24B"
I like playing video games.,"Synthetic, ULM 24B"
How did you cut your finger?,"Synthetic, ULM 24B"
What is your favorite animal?,"Synthetic, ULM 24B"
What is your name?,"Synthetic, ULM 24B"
Have I told you that you are pretty?,"Synthetic, ULM 24B"
Thanks for giving me a ride.,"Synthetic, ULM 24B"
You're going to need an umbrella.,"Synthetic, ULM 24B"
You too!,"Synthetic, ULM 24B"
I love riding horses in the rain.,"Synthetic, ULM 24B"
I had a great day. How about you?,"Synthetic, ULM 24B"
I am pretty sure that's my bike in there.,"Synthetic, ULM 24B"
Are you sure about that?,"Synthetic, ULM 24B"
Thanks for all the help.,"Synthetic, ULM 24B"
Have a good day.,"Synthetic, ULM 24B"
It was nice to see you again.,"Synthetic, ULM 24B"
Good morning.,"Synthetic, ULM 24B"
I like watching the rain.,"Synthetic, ULM 24B"
I have a feeling you will find love when it rains.,"Synthetic, ULM 24B"
Goodbye!,"Synthetic, ULM 24B"
You didn't have a good time?,"Synthetic, ULM 24B"
The sun is in the sky.,"Synthetic, ULM 24B"
I have been really busy with school.,"Synthetic, ULM 24B"
"I will be there shortly, but I can still be a bit late.","Synthetic, ULM 24B"
I am the best friend you could ever have.,"Synthetic, ULM 24B"
How are you today?,"Synthetic, ULM 24B"
You would enjoy this book.,"Synthetic, ULM 24B"
Why don't you want to eat a salad?,"Synthetic, ULM 24B"
Why are you talking to me,"Synthetic, ULM 24B"
I saw a mouse while I was at the park.,"Synthetic, ULM 24B"
I hope you can fix my laptop.,"Synthetic, ULM 24B"
The weather is very cold today.,"Synthetic, ULM 24B"
That is nice.,"Synthetic, ULM 24B"
"Oh, no problem.","Synthetic, ULM 24B"
That's good to hear!,"Synthetic, ULM 24B"
"Hey, it's been too long.","Synthetic, ULM 24B"
What's up? How are you?,"Synthetic, ULM 24B"
What's this?,"Synthetic, ULM 24B"
I want to ride my bike.,"Synthetic, ULM 24B"
I got a haircut yesterday.,"Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
I like to play sports.,"Synthetic, ULM 24B"
I enjoy writing code.,"Synthetic, ULM 24B"
I'll get back to you later.,"Synthetic, ULM 24B"
"If you like I Can Haz Cheezburger, you should try Cat Videos.","Synthetic, ULM 24B"
What\'s your favorite color?,"Synthetic, ULM 24B"
You did a really good job.,"Synthetic, ULM 24B"
The sunsets this time of year are absolutely beautiful.,"Synthetic, ULM 24B"
I got 100 on my English test today.,"Synthetic, ULM 24B"
I will meet you in the park.,"Synthetic, ULM 24B"
I would recommend drinking a lot of water.,"Synthetic, ULM 24B"
What's your favorite animal?,"Synthetic, ULM 24B"
I would recommend taking a test.,"Synthetic, ULM 24B"
I cannot wait for spring!,"Synthetic, ULM 24B"
I don't know.,"Synthetic, ULM 24B"
I'm just taking a walk.,"Synthetic, ULM 24B"
That's crazy.,"Synthetic, ULM 24B"
I do not like cats.,"Synthetic, ULM 24B"
I do not know.,"Synthetic, ULM 24B"
You are an excellent cook!,"Synthetic, ULM 24B"
I like going for runs with my friends.,"Synthetic, ULM 24B"
I think your shirt matches your jeans.,"Synthetic, ULM 24B"
Sorry to hear that.,"Synthetic, ULM 24B"
That's great.,"Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
"You're welcome, have a great day!","Synthetic, ULM 24B"
Let's go watch a movie.,"Synthetic, ULM 24B"
You are a really good friend.,"Synthetic, ULM 24B"
I have been told I have nice hair.,"Synthetic, ULM 24B"
I am going to the beach today!,"Synthetic, ULM 24B"
"Hey, are you ready to go?","Synthetic, ULM 24B"
I've been studying all day.,"Synthetic, ULM 24B"
It is cold today.,"Synthetic, ULM 24B"
I don't think that'll work.,"Synthetic, ULM 24B"
My favorite subject is English.,"Synthetic, ULM 24B"
I don't have any children or pets.,"Synthetic, ULM 24B"
Do I know you from somewhere?,"Synthetic, ULM 24B"
I want to be an animator.,"Synthetic, ULM 24B"
Would you like to go to the gym with me?,"Synthetic, ULM 24B"
You should read The Hobbit.,"Synthetic, ULM 24B"
My favorite food is steak.,"Synthetic, ULM 24B"
Don't be sorry. It's not your fault.,"Synthetic, ULM 24B"
Have you read that book?,"Synthetic, ULM 24B"
I would not recommend riding a motorcycle.,"Synthetic, ULM 24B"
I love the summer because of the warm weather.,"Synthetic, ULM 24B"
You are a good friend.,"Synthetic, ULM 24B"
Are you having a good day?,"Synthetic, ULM 24B"
Yes!,"Synthetic, ULM 24B"
"I like being outside, it's beautiful scenery.","Synthetic, ULM 24B"
The Hobbit is one of my favorite books as well.,"Synthetic, ULM 24B"
Have you seen a movie lately?,"Synthetic, ULM 24B"
I hope you feel better.,"Synthetic, ULM 24B"
My favorite movie is Back to the Future.,"Synthetic, ULM 24B"
Can you do that for me?,"Synthetic, ULM 24B"
We can eat at 4:30.,"Synthetic, ULM 24B"
I work in the lab on the first floor.,"Synthetic, ULM 24B"
I agree.,"Synthetic, ULM 24B"
"I like coffee, but not too much.","Synthetic, ULM 24B"
I'm interested in technology.,"Synthetic, ULM 24B"
I love reading!,"Synthetic, ULM 24B"
I like to drive to school.,"Synthetic, ULM 24B"
I'm sorry to hear that.,"Synthetic, ULM 24B"
I like to exercise.,"Synthetic, ULM 24B"
Did you walk down to the shops?,"Synthetic, ULM 24B"
We won't be open tomorrow.,"Synthetic, ULM 24B"
Can I help you with anything?,"Synthetic, ULM 24B"
I enjoy riding my bike.,"Synthetic, ULM 24B"
How was your day?,"Synthetic, ULM 24B"
How are you today?,"Synthetic, ULM 24B"
Do not feed the animals.,"Synthetic, ULM 24B"
"Yes, that's right.","Synthetic, ULM 24B"
I cannot swim or walk.,"Synthetic, ULM 24B"
Do you like to read?,"Synthetic, ULM 24B"
I'm going to need some extra time to finish these.,"Synthetic, ULM 24B"
I like to go fishing.,"Synthetic, ULM 24B"
Thank you so much for your help.,"Synthetic, ULM 24B"
I enjoy going to the library.,"Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
Have you spoken to Jane about this?,"Synthetic, ULM 24B"
I would not recommend getting a bike.,"Synthetic, ULM 24B"
I'm glad you're feeling better!,"Synthetic, ULM 24B"
What kind of work do you do?,"Synthetic, ULM 24B"
I would recommend playing a sport.,"Synthetic, ULM 24B"
Let me think about that.,"Synthetic, ULM 24B"
It is getting late.,"Synthetic, ULM 24B"
Do you know what time it is?,"Synthetic, ULM 24B"
I am hungry.,"Synthetic, ULM 24B"
Are you talking about the book by J.R.R. Tolkien?,"Synthetic, ULM 24B"
I hope you have a good day.,"Synthetic, ULM 24B"
I want to go to a concert this weekend.,"Synthetic, ULM 24B"
The weather is perfect today.,"Synthetic, ULM 24B"
I am very happy in the summer.,"Synthetic, ULM 24B"
Let's stop by my place sometime for lunch.,"Synthetic, ULM 24B"
Thanks for the recommendation.,"Synthetic, ULM 24B"
Goodbye now.,"Synthetic, ULM 24B"
It was good talking with you.,"Synthetic, ULM 24B"
I love this place.,"Synthetic, ULM 24B"
I will help you with that task.,"Synthetic, ULM 24B"
Today is going to be nice outside.,"Synthetic, ULM 24B"
I am enjoying my weekend.,"Synthetic, ULM 24B"
That would not be a good idea.,"Synthetic, ULM 24B"
It is a beautiful day. I have to go now.,"Synthetic, ULM 24B"
"It's great outside, you should go hiking.","Synthetic, ULM 24B"
I am feeling good today.,"Synthetic, ULM 24B"
Do you know what happened to my pen?,"Synthetic, ULM 24B"
I hope you had a good run.,"Synthetic, ULM 24B"
I'm a big fan of basketball as well.,"Synthetic, ULM 24B"
How about I take you to lunch?,"Synthetic, ULM 24B"
What's up?,"Synthetic, ULM 24B"
How high are you right now?,"Synthetic, ULM 24B"
I just finished a workout.,"Synthetic, ULM 24B"
How was your day?,"Synthetic, ULM 24B"
Tell me a joke!,"Synthetic, ULM 24B"
"Hello, how are things?","Synthetic, ULM 24B"
You have a beautiful smile.,"Synthetic, ULM 24B"
I want to be an artist.,"Synthetic, ULM 24B"
"Hi, my name is Samantha.","Synthetic, ULM 24B"
I am glad that helped.,"Synthetic, ULM 24B"
"Hello world, this is a long text that will span multiple lines.
					Hey, how's it going?","Synthetic, ULM 24B"
"col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:
col1:","Synthetic, ULM 24B"
Goodnight,"Synthetic, ULM 24B"
What's on the agenda for today?,"Synthetic, ULM 24B"
Why should you go to this place?,"Synthetic, ULM 24B"
Good-bye!,"Synthetic, ULM 24B"
How did I do during our conversation?,"Synthetic, ULM 24B"
How long have you been in the city?,"Synthetic, ULM 24B"
I love to go hiking.,"Synthetic, ULM 24B"
"Hello, please tell me how I can help you.","Synthetic, ULM 24B"
"Fine, how are you?","Synthetic, ULM 24B"
My sister owns a bakery.,"Synthetic, ULM 24B"
Nice weather we are having.,"Synthetic, ULM 24B"
What is new today?,"Synthetic, ULM 24B"
You can get a driver's license when you're 16 years old.,"Synthetic, ULM 24B"
Where are you going to eat?,"Synthetic, ULM 24B"
"Hey, watch out for the dog!","Synthetic, ULM 24B"
You\'re very welcome.,"Synthetic, ULM 24B"
"Oh, that's too bad.","Synthetic, ULM 24B"
I heard your sister is getting married next week.,"Synthetic, ULM 24B"
Please don't be angry with me.,"Synthetic, ULM 24B"
My favorite color is blue.,"Synthetic, ULM 24B"
I just saw Thor: Ragnarok,"Synthetic, ULM 24B"
I am going to the farmers' market today,"Synthetic, ULM 24B"
The rain in Spain falls mainly on the plain.\n,"Synthetic, ULM 24B"
"Hi, what can I do for you?","Synthetic, ULM 24B"
"Thanks for the help, my friend.","Synthetic, ULM 24B"
I don't have much time -- can you hurry?,"Synthetic, ULM 24B"
It is a good place to eat.,"Synthetic, ULM 24B"
The best way is to catch a bus.,"Synthetic, ULM 24B"
How old are you?,"Synthetic, ULM 24B"
How old are you?,"Synthetic, ULM 24B"
I don\'t like to drive fast.,"Synthetic, ULM 24B"
"I will ask it, and reply to you soon thereafter.","Synthetic, ULM 24B"
"Great, I love going swimming.","Synthetic, ULM 24B"
I'm glad you're enjoying my jokes.,"Synthetic, ULM 24B"
It was great seeing you again. See you next week!,"Synthetic, ULM 24B"
Don't believe everything you are told.,"Synthetic, ULM 24B"
Let me know what I can do.,"Synthetic, ULM 24B"
I have been really sad lately.,"Synthetic, ULM 24B"
I am not feeling very well today.,"Synthetic, ULM 24B"
I would recommend that you take a walk.,"Synthetic, ULM 24B"
"Hey, what's going on?","Synthetic, ULM 24B"
I can't believe you just did that.,"Synthetic, ULM 24B"
Are you ready to go?,"Synthetic, ULM 24B"
What is your email address?,"Synthetic, ULM 24B"
"Okay, I'll go for a run today.","Synthetic, ULM 24B"
Thank you.,"Synthetic, ULM 24B"
You have a good day too!,"Synthetic, ULM 24B"
What's your favorite color?,"Synthetic, ULM 24B"
Bye.,"Synthetic, ULM 24B"
What type of work do you do?,"Synthetic, ULM 24B"
"The sun is shining, it is going to be a beautiful day.","Synthetic, ULM 24B"
It's going to be a good day.,"Synthetic, ULM 24B"
Hi! How are you?,"Synthetic, ULM 24B"
I can help you do X.,"Synthetic, ULM 24B"
This is an automated message.,"Synthetic, ULM 24B"
Do you come here often?,"Synthetic, ULM 24B"
I need some help with my shopping.,"Synthetic, ULM 24B"
My favorite class is English.,"Synthetic, ULM 24B"
I have to go to an appointment.,"Synthetic, ULM 24B"
"I did, too.","Synthetic, ULM 24B"
I have a great job.,"Synthetic, ULM 24B"
"You were right, as usual.","Synthetic, ULM 24B"
"I like my job. It's challenging, but I enjoy it.","Synthetic, ULM 24B"
Can you help me make a sandwich?,"Synthetic, ULM 24B"
Why donâ€™t you call me later?,"Synthetic, ULM 24B"
"Sorry to hear that, do you need to reschedule?","Synthetic, ULM 24B"
You have made me very happy.,"Synthetic, ULM 24B"
I'm going to be late for work again today.,"Synthetic, ULM 24B"
Your order number is 123456.,"Synthetic, ULM 24B"
Do you like the book you're reading?,"Synthetic, ULM 24B"
What are you up to?,"Synthetic, ULM 24B"
I heard that is the best one out!,"Synthetic, ULM 24B"
You need to practice your driving skills.,"Synthetic, ULM 24B"
That's a beautiful dress!,"Synthetic, ULM 24B"
What time is it?,"Synthetic, ULM 24B"
I love the summer time.,"Synthetic, ULM 24B"
What is the weather forecast?,"Synthetic, ULM 24B"
I would recommend going for a walk.,"Synthetic, ULM 24B"
Do you want to go out for coffee?,"Synthetic, ULM 24B"
What a gorgeous day.,"Synthetic, ULM 24B"
You won't understand.,"Synthetic, ULM 24B"
The cat seems to have a leg problem.,"Synthetic, ULM 24B"
I've been doing pretty well,"Synthetic, ULM 24B"
It's good to see you!,"Synthetic, ULM 24B"
My favorite color is green.,"Synthetic, ULM 24B"
Are you feeling well?,"Synthetic, ULM 24B"
"I am so sorry, but there's nothing I can do about that.","Synthetic, ULM 24B"
I cannot hear what you are saying.,"Synthetic, ULM 24B"
I am going outside to play.,"Synthetic, ULM 24B"
The weather today is beautiful.,"Synthetic, ULM 24B"
My favorite color is green.,"Synthetic, ULM 24B"
I heard you like long walks.,"Synthetic, ULM 24B"
Have fun!,"Synthetic, ULM 24B"
I am going to the gym.,"Synthetic, ULM 24B"
I think that is a good idea.,"Synthetic, ULM 24B"
You should go on a jog.,"Synthetic, ULM 24B"
"Hey, I'm trying to lose weight.","Synthetic, ULM 24B"
I live downtown New York City.,"Synthetic, ULM 24B"
How old are you?,"Synthetic, ULM 24B"
I like to paint.,"Synthetic, ULM 24B"
Did you know that I love running?,"Synthetic, ULM 24B"
Do you still love me?,"Synthetic, ULM 24B"
I can't believe you told me that!,"Synthetic, ULM 24B"
I'm glad I was able to give you some insight.,"Synthetic, ULM 24B"
The forecast for today is sunny with a 10% chance of rain.,"Synthetic, ULM 24B"
Yes.,"Synthetic, ULM 24B"
Can I help you?,"Synthetic, ULM 24B"
Sorry to hear that.,"Synthetic, ULM 24B"
No problem.,"Synthetic, ULM 24B"
No problem.,"Synthetic, ULM 24B"
Let me check with my manager.,"Synthetic, ULM 24B"
See you later.,"Synthetic, ULM 24B"
What are your plans for the day?,"Synthetic, ULM 24B"
A few weeks.,"Synthetic, ULM 24B"
I love that movie! Did you see the sequels?,"Synthetic, ULM 24B"
My favorite author is J.R.R. Tolkien.,"Synthetic, ULM 24B"
How is your day going?,"Synthetic, ULM 24B"
"Hey, I have a question.","Synthetic, ULM 24B"
What kind of food do you like?,"Synthetic, ULM 24B"
What's your favorite movie?,"Synthetic, ULM 24B"
I am not very hungry.,"Synthetic, ULM 24B"
I will be back at ?,"Synthetic, ULM 24B"
It's currently 75 degrees.,"Synthetic, ULM 24B"
No problem.,"Synthetic, ULM 24B"
I wish I had listened to you.,"Synthetic, ULM 24B"
What are your plans for the weekend?,"Synthetic, ULM 24B"
Have you tried talking with your family doctor?,"Synthetic, ULM 24B"
"Sorry, we're out of stock.","Synthetic, ULM 24B"
I've been eating too much ice cream.,"Synthetic, ULM 24B"
"Here's my favorite song, take a listen.","Synthetic, ULM 24B"
"I cannot drive, as I am under 16.","Synthetic, ULM 24B"
My favorite sport is badminton.,"Synthetic, ULM 24B"
What's your favorite color?,"Synthetic, ULM 24B"
I'm not driving; I'm walking my dog.,"Synthetic, ULM 24B"
What time are you getting off work?,"Synthetic, ULM 24B"
Good luck. I know you will succeed.,"Synthetic, ULM 24B"
Do you live around here?,"Synthetic, ULM 24B"
"Yes, it's cold outside.","Synthetic, ULM 24B"
I would recommend staying inside.,"Synthetic, ULM 24B"
You told me it would rain.,"Synthetic, ULM 24B"
I like to go for hikes!,"Synthetic, ULM 24B"
Who put you in charge?,"Synthetic, ULM 24B"
Did you check with the 5 day forecast?,"Synthetic, ULM 24B"
What do you think I should do?,"Synthetic, ULM 24B"
I love the music of Pink Floyd.,"Synthetic, ULM 24B"
I am currently working for an airline company.,"Synthetic, ULM 24B"
I will see you later.,"Synthetic, ULM 24B"
I think your idea will work great.,"Synthetic, ULM 24B"
"I can drive. And no, I don't like to bike.","Synthetic, ULM 24B"
I am doing well.,"Synthetic, ULM 24B"
The dog pooped the bed.,"Synthetic, ULM 24B"
There are a lot of dogs barking outside,"Synthetic, ULM 24B"
I would recommend you use Google Chrome.,"Synthetic, ULM 24B"
My favorite pizza is Hawaiian.,"Synthetic, ULM 24B"
It would be nice out today.,"Synthetic, ULM 24B"
Let's go to the movies!,"Synthetic, ULM 24B"
Hello.,"Synthetic, ULM 24B"
I think they like me.,"Synthetic, ULM 24B"
"I'm thinking of buying tickets to the movie, what do you think?","Synthetic, ULM 24B"
"Goodbye, have a good day.","Synthetic, ULM 24B"
My favorite fruit is dragonfruit. It's super good!,"Synthetic, ULM 24B"
Goodbye.,"Synthetic, ULM 24B"
I'm not sure. We might have to ask the other members of the group.,"Synthetic, ULM 24B"
You are very welcome.,"Synthetic, ULM 24B"
You are welcome!,"Synthetic, ULM 24B"
What is the weather going to be like today?,"Synthetic, ULM 24B"
My favorite movie is Avatar.,"Synthetic, ULM 24B"
I like to run in the mornings.,"Synthetic, ULM 24B"
It's raining right now.,"Synthetic, ULM 24B"
It must have been a mistake.,"Synthetic, ULM 24B"
I am a great friend.,"Synthetic, ULM 24B"
Thank you for contacting us.,"Synthetic, ULM 24B"
The weather is nice today.,"Synthetic, ULM 24B"
You should have gotten your homework done last night.,"Synthetic, ULM 24B"
"I'm a bot, but I like to think I'm pretty friendly.","Synthetic, ULM 24B"
Avoid driving near large bodies of water when possible.,"Synthetic, ULM 24B"
Thanks for the recommendation.,"Synthetic, ULM 24B"
You should visit me in the South sometime.,"Synthetic, ULM 24B"
I think we should go to the cafe.,"Synthetic, ULM 24B"
I'm sorry but I have to go.,"Synthetic, ULM 24B"